rho, F, G
2.08, 3.80361779861798, 1.4662494893034081
2.09, 3.807250417324036, 1.4644406183969167
2.1, 3.810932133390271, 1.4626397052591606
2.11, 3.8146623607936654, 1.4608466824595
2.12, 3.8184405230523746, 1.4590614834500168
2.13, 3.822266053028356, 1.4572840425497489
2.14, 3.826138392734949, 1.4555142949292779
2.15, 3.8300569931492676, 1.4537521765956642
2.16, 3.834021314029265, 1.4519976243777195
2.17, 3.838030823735323, 1.450250575911606
2.18, 3.8420849990562504, 1.4485109696267588
2.19, 3.846183325039546, 1.4467787447321125
2.2, 3.850325294825818, 1.4450538412026386
2.21, 3.8545104094872293, 1.4433361997661696
2.22, 3.8587381778698564, 1.4416257618905153
2.23, 3.863008116439855, 1.439922469770854
2.24, 3.8673197491333178, 1.4382262663173997
2.25, 3.8716726072097236, 1.4365370951433318
2.26, 3.876066229108878, 1.4348549005529823
2.27, 3.8805001603112426, 1.4331796275302775
2.28, 3.8849739532015644, 1.4315112217274168
2.29, 3.8894871669357087, 1.4298496294538026
2.3, 3.894039367310613, 1.4281947976651903
2.31, 3.8986301266372676, 1.4265466739530717
2.32, 3.9032590236166467, 1.42490520653428
2.33, 3.9079256432185066, 1.4232703442408028
2.34, 3.9126295765629773, 1.4216420365098161
2.35, 3.917370420804861, 1.420020233373913
2.36, 3.922147779020579, 1.4184048854515385
2.37, 3.926961260097683, 1.4167959439376148
2.38, 3.931810478626873, 1.4151933605943618
2.39, 3.9366950547964468, 1.4135970877422965
2.40, 3.9416146142891204, 1.4120070782514167
2.41, 3.9465687881811564, 1.4104232855325636
2.42, 3.9515572128437384, 1.4088456635289486
2.43, 3.956579529846536, 1.4072741667078585
2.44, 3.9616353858633984, 1.4057087500525172
2.45, 3.9667244325801247, 1.4041493690541076
2.46, 3.971846326604255, 1.4025959797039496
2.47, 3.9770007293768326, 1.4010485384858553
2.48, 3.982187307086087, 1.3995070023685696
2.49, 3.9874057305829824, 1.3979713287984288
2.5, 3.9926556752985913, 1.3964414756921226
2.51, 3.9979368211632473, 1.3949174014296006
2.52, 4.003248852527423, 1.3933990648471128
2.53, 4.008591458084301, 1.391886425230391
2.54, 4.0139643307939865, 1.3903794423079505
2.55, 4.019367167809327, 1.3888780762445232
2.56, 4.024799670403296, 1.3873822876346125
2.57, 4.0302615438979, 1.3858920374961683
2.58, 4.035752497594574, 1.3844072872643838
2.59, 4.041272244706032, 1.3829279987855996
2.6, 4.046820502289528, 1.381454134311333
2.61, 4.0523969911815, 1.3799856564924016
2.62, 4.058001435933566, 1.3785225283731701
2.63, 4.063633564749824, 1.3770647133858915
2.64, 4.0692931094254465, 1.3756121753451644
2.65, 4.074979805286522, 1.3741648784424598
2.66, 4.080693391131116, 1.3727227872407954
2.67, 4.086433609171532, 1.3712858666694634
2.68, 4.092200204977732, 1.3698540820188738
2.69, 4.097992927421891, 1.3684273989354838
2.7, 4.103811528624072, 1.3670057834168192
2.71, 4.109655763898975, 1.3655892018065845
2.72, 4.115525391703749, 1.364177620789854
2.73, 4.121420173586837, 1.362771007388358
2.74, 4.127339874137829, 1.3613693289558422
2.75, 4.133284260938307, 1.3599725531735114
2.76, 4.139253104513646, 1.3585806480455533
2.77, 4.1452461782857615, 1.3571935818947403
2.78, 4.151263258526772, 1.3558113233581048
2.79, 4.157304124313568, 1.3544338413826917
2.8, 4.163368557483251, 1.3530611052213812
2.81, 4.169456342589434, 1.3516930844287858
2.82, 4.175567266859382, 1.3503297488572137
2.83, 4.181701120151968, 1.3489710686527048
2.84, 4.187857694916438, 1.3476170142511288
2.85, 4.194036786151952, 1.3462675563743556
2.86, 4.200238191367894, 1.3449226660264821
2.87, 4.206461710544927, 1.3435823144901284
2.88, 4.212707146096795, 1.3422464733227926
2.89, 4.218974302832816, 1.3409151143532667
2.90, 4.2252629879211, 1.3395882096781124
2.91, 4.231573010852436, 1.3382657316581958
2.92, 4.237904183404854, 1.3369476529152744
2.93, 4.24425631960885, 1.335633946328647
2.94, 4.250629235713231, 1.334324585031851
2.95, 4.257022750151615, 1.3330195424094213
2.96, 4.26343668350952, 1.3317187920936935
2.97, 4.269870858492071, 1.3304223079616655
2.98, 4.276325099892288, 1.3291300641319033
2.99, 4.282799234559938, 1.3278420349615034
3., 4.289293091370974, 1.3265581950430978
3.01, 4.295806501197502, 1.3252785192019094
3.02, 4.302339296878301, 1.3240029824928552
3.03, 4.308891313189866, 1.3227315601976903
3.04, 4.315462386817963, 1.3214642278222042
3.05, 4.3220523563296975, 1.320200961093455
3.06, 4.328661062146081, 1.3189417359570499
3.07, 4.335288346515066, 1.317686528574468
3.08, 4.341934053485073, 1.3164353153204245
3.09, 4.348598028878978, 1.3151880727802714
3.1, 4.355280120268548, 1.3139447777474496
3.11, 4.361980176949328, 1.3127054072209652
3.12, 4.368698049915975, 1.3114699384029198
3.13, 4.3754335918379965, 1.3102383486960647
3.14, 4.3821866570359305, 1.3090106157014023
3.15, 4.388957101457926, 1.3077867172158197
3.16, 4.395744782656723, 1.306566631229759
3.17, 4.4025495597670385, 1.3053503359249214
3.18, 4.409371293483325, 1.3041378096720087
3.19, 4.416209846037917, 1.302929031028496
3.2, 4.423065081179548, 1.3017239787364394
3.21, 4.429936864152221, 1.3005226317203153
3.22, 4.436825061674456, 1.2993249690848916
3.23, 4.443729541918858, 1.2981309701131318
3.24, 4.450650174492058, 1.2969406142641302
3.25, 4.457586830414964, 1.2957538811710732
3.26, 4.4645393821033625, 1.2945707506392383
3.27, 4.471507703348821, 1.293391202644014
3.28, 4.478491669299929, 1.2922152173289536
3.29, 4.485491156443828, 1.2910427750038587
3.30, 4.492506042588066, 1.2898738561428833
3.31, 4.499536206842732, 1.2887084413826733
3.32, 4.506581529602895, 1.2875465115205273
3.33, 4.513641892531325, 1.2863880475125882
3.34, 4.520717178541498, 1.2852330304720547
3.35, 4.527807271780874, 1.2840814416674262
3.36, 4.534912057614445, 1.2829332625207632
3.37, 4.542031422608558, 1.281788474605983
3.38, 4.5491652545149766, 1.28064705964717
3.39, 4.556313442255233, 1.279508999516914
3.4, 4.563475875905192, 1.2783742762346746
3.41, 4.570652446679892, 1.2772428719651618
3.42, 4.577843046918609, 1.2761147690167471
3.43, 4.585047570070164, 1.2749899498398864
3.44, 4.5922659106784645, 1.2738683970255782
3.45, 4.599497964368272, 1.272750093303829
3.46, 4.606743627831191, 1.2716350215421526
3.47, 4.614002798811887, 1.2705231647440798
3.48, 4.621275376094502, 1.2694145060476956
3.49, 4.6285612594893095, 1.268309028724192
3.5, 4.635860349819547, 1.2672067161764429
3.51, 4.643172548908477, 1.2661075519375982
3.52, 4.65049775956663, 1.2650115196696947
3.53, 4.657835885579263, 1.263918603162291
3.54, 4.665186831693991, 1.2628287863311134
3.55, 4.672550503608625, 1.261742053216724
3.56, 4.6799268079591885, 1.2606583879832114
3.57, 4.687315652308113, 1.2595777749168893
3.58, 4.694716945132624, 1.2585001984250173
3.59, 4.702130595813295, 1.2574256430345412
3.6, 4.709556514622777, 1.2563540933908461
3.61, 4.716994612714699, 1.2552855342565261
3.62, 4.724444802112737, 1.2542199505101725
3.63, 4.731906995699838, 1.2531573271451777
3.64, 4.739381107207622, 1.2520976492685507
3.65, 4.746867051205932, 1.2510409020997548
3.66, 4.754364743092532, 1.2499870709695522
3.67, 4.76187409908298, 1.2489361413188735
3.68, 4.769395036200625, 1.247888098697694
3.69, 4.776927472266776, 1.2468429287639242
3.7, 4.784471325890998, 1.2458006172823235
3.71, 4.792026516461561, 1.244761150123417
3.72, 4.799592964136027, 1.2437245132624308
3.73, 4.807170589831966, 1.2426906927782453
3.74, 4.814759315217826, 1.2416596748523523
3.75, 4.822359062703916, 1.2406314457678351
3.76, 4.829969755433536, 1.239605991908354
3.77, 4.83759131727422, 1.238583299757148
3.78, 4.845223672809121, 1.23756335589605
3.79, 4.852866747328511, 1.2365461470045132
3.80, 4.860520466821402, 1.2355316598586465
3.81, 4.868184757967292, 1.2345198813302698
3.82, 4.875859548128031, 1.233510798385978
3.83, 4.883544765339793, 1.2325043980861927
3.84, 4.89124033830517, 1.2315006675842834
3.85, 4.898946196385381, 1.2304995941256416
3.86, 4.906662269592581, 1.2295011650467933
3.87, 4.914388488582285, 1.228505367774517
3.88, 4.922124784645902, 1.227512189824976
3.89, 4.929871089703369, 1.2265216188028547
3.9, 4.9376273362958845, 1.2255336424005145
3.91, 4.945393457578753, 1.2245482483971513
3.92, 4.9531693873143245, 1.2235654246579675
3.93, 4.960955059865029, 1.2225851591333528
3.94, 4.968750410186512, 1.221607439858078
3.95, 4.976555373820869, 1.2206322549504915
3.96, 4.984369886889958, 1.2196595926117357
3.97, 4.992193886088825, 1.2186894411249611
3.98, 5.000027308679201, 1.217721788854559
3.99, 5.007870092483104, 1.2167566242453998
4.00, 5.015722175876516, 1.215793935822079
4.01, 5.023583497783148, 1.2148337121881758
4.02, 5.0314539976683, 1.2138759420255159
4.03, 5.039333615532797, 1.2129206140934476
4.04, 5.0472222919070004, 1.2119677172281227
4.05, 5.055119967844913, 1.2110172403417894
4.06, 5.063026584918358, 1.2100691724220882
4.07, 5.070942085211234, 1.2091235025313625
4.08, 5.07886641131385, 1.208180219805973
4.09, 5.086799506317336, 1.2072393134556196
4.1, 5.0947413138081235, 1.2063007727626742
4.11, 5.102691777862511, 1.2053645870815204
4.12, 5.110650843041292, 1.2044307458378978
4.13, 5.118618454384446, 1.2034992385282568
4.14, 5.126594557405928, 1.2025700547191223
4.15, 5.134579098088498, 1.20164318404646
4.16, 5.142572022878628, 1.2007186162150523
4.17, 5.150573278681486, 1.199796340997883
4.18, 5.158582812855972, 1.1988763482355271
4.19, 5.166600573209821, 1.1979586278355463
4.2, 5.17462650799478, 1.1970431697718957
4.21, 5.182660565901835, 1.1961299640843321
4.22, 5.19070269605651, 1.1952190008778303
4.23, 5.1987528480142196, 1.19431027032201
4.24, 5.2068109717556865, 1.1934037626505647
4.25, 5.214877017682415, 1.1924994681606966
4.26, 5.222950936612223, 1.1915973772125612
4.27, 5.231032679774838, 1.1906974802287171
4.28, 5.239122198807538, 1.1897997676935779
